Вестник,0,1,1,1,1,1,0,0
Друзья,1,0,1,1,2,1,1,1
Кормилица,1,1,0,2,1,1,0,1
Прислужницы,1,1,2,0,1,1,0,1
Слуга,1,2,1,1,0,1,2,2
Тезей,1,1,1,1,1,0,0,0
Ипполит,0,1,0,0,2,0,0,2
Федра,0,1,1,1,2,0,2,0
